method,partition,metric,n_runs,mean,std,min,max
S+X2,FKIT,mAP,5,38.0100,0.0000,38.0100,38.0100
S+X2,FKIT,recall,5,35.3200,0.0000,35.3200,35.3200
S+X2,FKIT,precision,5,38.0100,0.0000,38.0100,38.0100
S+X2,FKIT,f1,5,36.0800,0.0000,36.0800,36.0800
S+X2,FKIT,iou,5,34.6400,0.0000,34.6400,34.6400
S+X2,FKIT,accuracy,5,98.5200,0.0000,98.5200,98.5200
SC+S2,N5K,mAP,5,61.4900,0.0000,61.4900,61.4900
SC+S2,N5K,recall,5,60.6900,0.0000,60.6900,60.6900
SC+S2,N5K,precision,5,61.4900,0.0000,61.4900,61.4900
SC+S2,N5K,f1,5,58.5600,0.0000,58.5600,58.5600
SC+S2,N5K,iou,5,46.1300,0.0000,46.1300,46.1300
SC+S2,N5K,accuracy,5,86.1700,0.0000,86.1700,86.1700
SC+S2,MTF,mAP,5,39.5100,0.0000,39.5100,39.5100
SC+S2,MTF,recall,5,33.5300,0.0000,33.5300,33.5300
SC+S2,MTF,precision,5,39.5100,0.0000,39.5100,39.5100
SC+S2,MTF,f1,5,34.5300,0.0000,34.5300,34.5300
SC+S2,MTF,iou,5,24.9300,0.0000,24.9300,24.9300
SC+S2,MTF,accuracy,5,94.3000,0.0000,94.3000,94.3000
SC+S2,VF,mAP,5,22.6600,0.0000,22.6600,22.6600
SC+S2,VF,recall,5,26.3600,0.0000,26.3600,26.3600
SC+S2,VF,precision,5,22.6600,0.0000,22.6600,22.6600
SC+S2,VF,f1,5,17.7400,0.0000,17.7400,17.7400
SC+S2,VF,iou,5,12.1700,0.0000,12.1700,12.1700
SC+S2,VF,accuracy,5,94.3800,0.0000,94.3800,94.3800
SC+S2,FKIT,mAP,5,22.7000,0.0000,22.7000,22.7000
SC+S2,FKIT,recall,5,8.0800,0.0000,8.0800,8.0800
SC+S2,FKIT,precision,5,22.7000,0.0000,22.7000,22.7000
SC+S2,FKIT,f1,5,9.9500,0.0000,9.9500,9.9500
SC+S2,FKIT,iou,5,6.5600,0.0000,6.5600,6.5600
SC+S2,FKIT,accuracy,5,97.5000,0.0000,97.5000,97.5000
SC+S3,N5K,mAP,5,88.9000,0.0000,88.9000,88.9000
SC+S3,N5K,recall,5,89.9200,0.0000,89.9200,89.9200
SC+S3,N5K,precision,5,88.9000,0.0000,88.9000,88.9000
