method,frame,mAP,recall,iou,accuracy
FoodLMM,378,100.0000,43.2066,43.2066,98.4748
FoodLMM,379,100.0000,51.1971,51.1971,98.6876
FoodLMM,380,100.0000,55.5580,55.5580,98.8154
FoodLMM,381,100.0000,56.6080,56.6080,98.8481
FoodLMM,382,0.0000,0.0000,0.0000,97.3730
FoodLMM,383,89.9527,83.1340,76.0703,99.3167
FoodLMM,384,0.0000,0.0000,0.0000,97.4236
FoodLMM,385,0.0000,0.0000,0.0000,97.4800
FoodLMM,386,0.0000,0.0000,0.0000,97.5098
FoodLMM,387,0.0000,0.0000,0.0000,97.5326
FoodLMM,388,99.4130,57.4612,57.2670,98.9395
FoodLMM,389,99.8015,37.9669,37.9382,98.4531
FoodLMM,390,99.8659,82.0232,81.9329,99.5486
FoodLMM,391,99.1103,74.9583,74.4573,99.3532
FoodLMM,392,0.0000,0.0000,0.0000,97.4566
FoodLMM,393,0.0000,0.0000,0.0000,97.4193
FoodLMM,394,100.0000,46.4865,46.4865,98.5930
FoodLMM,395,100.0000,43.2390,43.2390,98.4823
FoodLMM,396,100.0000,40.5631,40.5631,98.3844
FoodLMM,397,100.0000,39.7239,39.7239,98.3384
FoodLMM,398,100.0000,37.1260,37.1260,98.2428
FoodLMM,399,100.0000,42.3557,42.3557,98.3750
FoodLMM,400,0.0000,0.0000,0.0000,97.1774
FoodLMM,401,0.0000,0.0000,0.0000,97.1916
FoodLMM,402,0.0000,0.0000,0.0000,97.2001
FoodLMM,403,0.0000,0.0000,0.0000,97.2195
FoodLMM,404,100.0000,57.1540,57.1540,98.8073
FoodLMM,405,0.0000,0.0000,0.0000,97.2345
FoodLMM,406,0.0000,0.0000,0.0000,97.2484
FoodLMM,407,100.0000,39.5013,39.5013,98.3326
FoodLMM,408,0.0000,0.0000,0.0000,97.2245
FoodLMM,409,99.9828,90.1348,90.1208,99.7232
FoodLMM,410,0.0000,0.0000,0.0000,97.1445
FoodLMM,411,100.0000,29.4832,29.4832,97.9429
FoodLMM,412,100.0000,42.8935,42.8935,98.2782
FoodLMM,413,0.0000,0.0000,0.0000,96.9107
FoodLMM,414,0.0000,0.0000,0.0000,96.8150
FoodLMM,415,0.0000,0.0000,0.0000,96.7582
FoodLMM,416,0.0000,0.0000,0.0000,96.7461
FoodLMM,417,100.0000,32.2714,32.2714,97.7792
FoodLMM,418,95.2235,46.4704,45.4119,98.1659
FoodLMM,419,98.2760,45.4375,45.0782,98.1612
FoodLMM,420,0.0000,0.0000,0.0000,96.6573
FoodLMM,421,72.8190,44.2126,37.9497,97.5595
FoodLMM,422,99.9712,73.3988,73.3833,99.0907
FoodLMM,423,100.0000,52.2958,52.2958,98.3511
FoodLMM,424,100.0000,76.8862,76.8862,99.1898
FoodLMM,425,99.9449,95.9894,95.9386,99.8556
FoodLMM,426,0.0000,0.0000,0.0000,96.4333
FoodLMM,427,0.0000,0.0000,0.0000,96.3539
FoodLMM,428,0.0000,0.0000,0.0000,96.3176
FoodLMM,429,100.0000,55.5029,55.5029,98.3423
FoodLMM,430,100.0000,81.4778,81.4778,99.2921
